qn,label,pronoun,quote,source,text,options,pronoun_loc,quote_loc
115,1,เขา,เขาควรจะกังขามากกว่านี้,Ernest Davis,โอ๋นโกหกโดมหลายอย่างเกี่ยวกับตัวเอง ซึ่งโดมก็กล่าวถึงในหนังสือของเขา เขาควรจะกังขามากกว่านี้,['โอ๋๋น' 'โดม'],69,69
116,0,บ้านหลังนั้น,จะย้ายออกจากบ้านหลังนั้น,Ernest Davis,โต้งได้ขายบ้านของตัวเอง และซื้อบ้านหลังใหม่ที่ห่างจากกันไม่กี่กิโลเมตร เขาจะย้ายออกจากบ้านหลังนั้นในวันพฤหัสบดี,['บ้านของตัวเอง ' 'บ้านหลังใหม่'],86,74
117,1,บ้านหลังนั้น,จะย้ายเข้าบ้านหลังนั้น,Ernest Davis,โต้งได้ขายบ้านของตัวเอง และซื้อบ้านหลังใหม่ที่ห่างจากกันไม่กี่กิโลเมตร เขาจะย้ายเข้าบ้านหลังนั้นในวันพฤหัสบดี,['บ้านของตัวเอง ' 'บ้านหลังใหม่'],84,74
118,0,พวกนั้น,พวกนั้นติดมาก,Ernest Davis,มีหลายคนเริ่มอ่านงานประพันธ์ของเจนภพ และหยุดอ่านไม่ได้ พวกนั้นติดมากเพราะเจนภพเขียนเก่ง,['คน' 'งานประพันธ์ของเจนภพ'],55,55
119,1,พวกนั้น,พวกนั้นดังมาก,Ernest Davis,มีหลายคนเริ่มอ่านงานประพันธ์ของเจนภพ และหยุดอ่านไม่ได้ พวกนั้นดังมากเพราะเจนภพเขียนเก่ง,['คน' 'งานประพันธ์ของเจนภพ'],55,55
120,0,มัน,เธอใช้มัน,Ernest Davis,เมรีเอาขลุ่ยของเธอออกมาและเล่นเพลงโปรดของเธอ เธอใช้มันมาตั้งแต่เด็ก,['ขลุ่ย' 'เพลง'],51,45
121,1,มัน,เธอชอบมัน,Ernest Davis,เมรีเอาขลุ่ยของเธอออกมาและเล่นเพลงโปรดของเธอ เธอชอบมันตั้งแต่เด็ก,['ขลุ่ย' 'เพลง'],51,45
122,0,มัน,มันพังลง ,Ernest Davis,เขตต์ลากเก้าอี้มาที่เปียโน แต่มันพังลง เขาเลยต้องยืนแทน,['เก้าอี้' 'เปียโน'],30,30
123,1,มัน,มันพังลง,Ernest Davis,เขตต์ลากเก้าอี้มาที่เปียโน แต่มันพังลง เขาเลยต้องร้องเพลงแทน,['เก้าอี้' 'เปียโน'],30,30
124,0,มัน,เพื่อไม่ให้มันเปียก,Ernest Davis,ฉันเก็บหนังสือพิมพ์ไว้ในกระเป๋าเป้ เพื่อไม่ให้มันเปียก เพราะฝนตก,['หนังสือพิมพ์' 'กระเป๋าเป้'],46,35
125,1,มัน,เพื่อไม่ให้มันเปียก,Ernest Davis,ฉันยกหนังสือพิมพ์ไว้เหนือกระเป๋าเป้ เพื่อไม่ให้มันเปียก เพราะฝนตก,['หนังสือพิมพ์' 'กระเป๋าเป้'],47,36
126,0,มัน,เธออ่านมัน,Ernest Davis,ภัสสรยืมหนังสือจากห้องสมุด เพราะเธอต้องใช้มันสำหรับบทความที่เธอกำลังเขียนอยู่ เธออ่านมันเมื่อเธอกลับจากทำงาน,['หนังสือ' 'บทความ'],85,78
127,1,มัน,เธอเขียนมัน,Ernest Davis,ภัสสรยืมหนังสือจากห้องสมุด เพราะเธอต้องใช้มันสำหรับบทความที่เธอกำลังเขียนอยู่ เธอเขียนมันเมื่อเธอกลับจากทำงาน,['หนังสือ' 'บทความ'],86,78
128,0,มัน,มันถูกคลื่นซัดลง,Ernest Davis,เช้านี้มาร์คสร้างปราสาททรายบนชายหาด และวางธงไว้ที่ปลายเสา แต่เมื่อบ่ายมันถูกคลื่นซัดลง,['ปราสาททราย' 'ธง'],70,70
129,1,มัน,มันถูกลมพัดตกลง,Ernest Davis,เช้านี้มาร์คสร้างปราสาททรายบนชายหาด และวางธงไว้ที่ปลายเสา แต่เมื่อบ่ายมันถูกลมพัดตกลง,['ปราสาททราย' 'ธง'],70,70
130,0,เธอ,เธอผิดหวัง,Ernest Davis,อารยาเคาะประตูบ้านของวีรดา แต่ไม่มีใครเปิดรับ เธอผิดหวัง,['อารยา' 'วีรดา'],46,46
131,1,เธอ,เธอไม่อยู่,Ernest Davis,อารยาเคาะประตูบ้านของวีรดา แต่ไม่มีใครเปิดรับ เธอไม่อยู่,['อารยา' 'วีรดา'],46,46
132,0,เธอ,เธอชวน,Ernest Davis,อารยาเคาะประตู และวีรดาเปิดรับ เธอชวนให้เขาออกมา,['อารยา' 'วีรดา'],31,31
133,1,เธอ,เธอชวน,Ernest Davis,อารยาเคาะประตู และวีรดาเปิดรับ เธอชวนให้เขาเข้ามา,['อารยา' 'วีรดา'],31,31
134,0,เขา,เขากระตือรือร้น,Ernest Davis,เฉลิมลงเรียนวิชาฝรั่งเศสกับกชกร เพราะเขากระตือรือร้นที่จะพูดได้อย่างคล่อง,['เฉลิม' 'กชกร'],37,37
135,1,เขา,เขาพูดได้อย่างคล่อง,Ernest Davis,เฉลิมลงเรียนวิชาฝรั่งเศสกับกชกร เพราะเขาพูดได้อย่างคล่อง,['เฉลิม' 'กชกร'],37,37
136,0,ตรงนั้น,ใช้ตรงนั้น,Ernest Davis,เส้นทางสู่ชลธารถูกกั้นไว้ เราใช้ตรงนั้นไม่ได้,['เส้นทาง' 'ชลธาร'],32,29
137,1,ตรงนั้น,ไปถึงตรงนั้น,Ernest Davis,เส้นทางสู่ชลธารถูกกั้นไว้ เราไม่สามารถไปถึงตรงนั้นได้,['เส้นทาง' 'ชลธาร'],43,38
138,0,มัน,มันก็โผล่มา,Ernest Davis,ดวงอาทิตย์ถูกปกคลุมด้วยเมฆหนาทั้งเช้า แต่โชคดีที่เมื่อถึงเวลาปิกนิก มันก็โผล่มา,['ดวงอาทิตย์' 'เมฆ'],68,68
139,1,มัน,มันก็หายไป,Ernest Davis, ดวงอาทิตย์ถูกปกคลุมด้วยเมฆหนาทั้งเช้า แต่โชคดีที่เมื่อถึงเวลาปิกนิก มันก็หายไป,['ดวงอาทิตย์' 'เมฆ'],69,69
140,0,มัน,มันจึงเป็นที่ที่ปลอดภัย,Ernest Davis,เราไปที่ทะเลสาบ เพราะว่ามีฉลามถูกพบที่ชายหาด มันจึงเป็นที่ที่ปลอดภัยมากกว่าสำหรับการว่ายน้ำ,['ทะเลสาบ' 'ชายหาด'],45,45
141,1,มัน,มันจึงเป็นที่ที่อันตราย,Ernest Davis,เราไปที่ทะเลสาบ เพราะว่ามีฉลามถูกพบที่ชายทหาด มันจึงเป็นที่ที่อันตรายมากกว่าสำหรับการว่ายน้ำ,['ทะเลสาบ' 'ชายหาด'],46,46
142,0,พวกนั้น,พวกนั้นกลับดูเหมือนนักกลอ์ฟ ,Ernest Davis,กิตต์ตั้งใจวาดภาพกลุ่มคนเลี้ยงแกะล้อมไปด้วยฝูงแกะ แต่พวกนั้นกลับดูเหมือนนักกลอ์ฟ ,['กลุ่มคนเลี้ยงแกะ' 'ฝูงแกะ'],53,53
143,1,พวกนั้น,พวกนั้นกลับดูเหมือนฝูงหมา,Ernest Davis,กิตต์ตั้งใจวาดภาพกลุ่มคนเลี้ยงแกะล้อมไปด้วยฝูงแกะ แต่พวกนั้นกลับดูเหมือนฝูงหมา,['กลุ่มคนเลี้ยงแกะ' 'ฝูงแกะ'],53,53
144,0,เธอ,เธอจะได้ทำงาน,Ernest Davis,นุ่นพาขิงลงบนเตียงเพราะเธอจะได้ทำงาน,['นุ่น' 'ขิง'],23,23
145,1,เธอ,เธอจะได้นอน,Ernest Davis,นุ่นพาขิงลงบนเตียงเพราะเธอจะได้นอน,['นุ่น' 'ขิง'],23,23
146,0,พวกนั้น,พวกนั้นก็ไม่ได้เตรียมพร้อม,Ernest Davis,กระแตและน้ำฝนเตรียมเสื้อคลุมที่อุ่นมาก แต่พวกนั้นก็ไม่ได้เตรียมพร้อมสำหรับความหนาวที่อลาสก้า,['กระแต' 'น้ำฝน'],42,42
147,1,พวกนั้น,พวกนั้นก็ไม่เพียงพอ,Ernest Davis,กระแตและน้ำฝนเตรียมเสื้อคลุมที่อุ่นมาก แต่พวกนั้นก็ไม่เพียงพอสำหรับความหนาวที่อลาสก้า,['กระแต' 'น้ำฝน'],42,42
148,0,เขา,เขาได้ท่องเที่ยว,Ernest Davis,นราวิชไปเยี่ยมหลุมฝังศพของชวัลวิทย์ในปี 2308 ณ ตอนนั้นเขาได้ท่องเที่ยวมาห้าปีแล้ว,['นราวิช' 'ชวัลวิทย์'],54,54
149,1,เขา,เขาเสียชีวิต,Ernest Davis,นราวิชไปเยี่ยมหลุมฝังศพของชวัลวิทย์ในปี 2308 ณ ตอนนั้นเขาเสียชีวิตครบห้าปีแล้ว,['นราวิช' 'ชวัลวิทย์'],54,54
150,0,เขา,เขาอยู่ในช่วงสองศตวรรษต่อมา,Ernest Davis,สนทรภู่ได้รับอิทธิพลจากอุดม แม้เขาอยู่ในช่วงสองศตวรรษต่อมาก็ตาม,['สนทรภู่' 'อุดม '],31,31
151,1,เขา,เขาอยู่ในช่วงสองศตวรรษที่แล้ว,Ernest Davis,สนทรภู่ได้รับอิทธิพลจากอุดม แม้เขาอยู่ในช่วงสองศตวรรษที่แล้วก็ตาม,['สนทรภู่' 'อุดม '],31,31
152,0,มัน,มันหนาเกินไป,Ernest Davis,ฉันตัดต้นไม้ด้วยขวานเล่มนี้ไม่ได้ มันหนาเกินไป,['ต้นไม้' 'ขวาน'],34,34
153,1,มัน,มันเล็กเกินไป,Ernest Davis,ฉันตัดต้นไม้ด้วยขวานเล่มนี้ไม่ได้ มันเล็กเกินไป,['ต้นไม้' 'ขวาน'],34,34
154,0,พวกมัน,ฆ่าพวกมัน,Ernest Davis,กลุ่มจิ้งจอกเข้ามาในตอนกลางขึ้นและก็ทำร้ายไก่ ฉันจำเป็นต้องฆ่าพวกมัน,['กลุ่มจิ้งจอก' 'ไก่'],62,59
155,1,พวกมัน,ปกป้องพวกมัน,Ernest Davis,กลุ่มจิ้งจอกเข้ามาในตอนกลางขึ้นและก็ทำร้ายไก่ ฉันจำเป็นต้องปกป้องพวกมัน,['กลุ่มจิ้งจอก' 'ไก่่'],65,59
156,0,พวกมัน,พวกมันเริ่มกล้ามาก,Ernest Davis,กลุ่มจิ้งจอกเข้ามาในตอนกลางขึ้นและก็ทำร้ายไก่ พวกมันเริ่มกล้ามาก,['กลุ่มจิ้งจอก' 'ไก่'],46,46
157,1,พวกมัน,พวกมันเริ่มเกรงกลัวมาก,Ernest Davis,กลุ่มจิ้งจอกเข้ามาในตอนกลางขึ้นและก็ทำร้ายไก่ พวกมันเริ่มเกรงกลัวมาก,['กลุ่มจิ้งจอก' 'ไก่่'],46,46
158,0,ทั้งสอง,เปิดทั้งสอง,Ernest Davis,ดนัยปิดตาเขาด้วยมือ เพราะลมพัดทรายไปทั่ว เขาเปิดทั้งสองเมื่อลมหยุด,['ตา' 'มือ'],48,44
159,1,ทั้งสอง,เอาทั้งสองลง,Ernest Davis,ดนัยปิดตาเขาด้วยมือ เพราะลมพัดทรายไปทั่ว เขาเอาทั้งสองลงเมื่อลมหยุด,['ตา' 'มือ'],47,44
160,0,มัน,มันอ่านออกเสียงยากเกินไป,Ernest Davis,นักแสดงสาวคนนั้นเคยชื่อภัทรียา แต่เธอเปลี่ยนเป็นภัทราเมื่อไม่กี่ปีก่อน เพราะเธอคิดว่ามันอ่านออกเสียงยากเกินไป,['ภัทรียา' 'ภัทรา'],85,85
161,1,มัน,มันอ่านออกเสียงง่ายกว่า,Ernest Davis,นักแสดงสาวคนนั้นเคยชื่อภัทรียา แต่เธอเปลี่ยนเป็นภัทราเมื่อไม่กี่ปีก่อน เพราะเธอคิดว่ามันอ่านออกเสียงง่ายกว่า,['ภัทรียา' 'ภัทรา'],85,85
162,0,เขา,เขาลุกขึ้น,Ernest Davis,ดิวดูทีวีระหว่างที่โตโต้ออกไปซื้อของชำ อีกหนึ่งชั่วโมงเขาลุกขึ้น,['ดิว' 'โตโต้'],54,54
163,1,เขา,เขากลับมา,Ernest Davis,ดิวดูทีวีระหว่างที่โตโต้ออกไปซื้อของชำ อีกหนึ่งชั่วโมงเขากลับมา,['ดิว' 'โตโต้'],54,54
164,0,มัน,เปิดมัน,Ernest Davis,ดิวตั้งใจจะใช้เครื่องล้างจาน แต่เขาปิดมัน เพราะเขาอยากดูทีวี แต่รายการกลับดูน่าเบื่อ เขาจึงเปลี่ยนใจและเปิดมัน,['เครื่องล้างจาน' 'ทีวี'],107,103
165,1,มัน,ปิดมัน,Ernest Davis,ดิวตั้งใจจะใช้เครื่องล้างจาน แต่เขาปิดมัน เพราะเขาอยากดูทีวี แต่รายการกลับดูน่าเบื่อ เขาเลยเปลี่ยนใจและปิดมัน,['เครื่องล้างจาน' 'ทีวี'],38,35
166,0,เขา,เขาคือบุรุษที่ยอดเยี่ยมมาก,Ernest Davis,ดิวคือคนเดียวที่ยังอยู่และยังจำปู่ทวดของฉันได้ เขาคือบุรุษที่ยอดเยี่ยมมาก,['ดิว' 'ปู่ทวดของฉัน'],47,47
167,1,เขา,เขาเคยเป็นบุรุษที่ยอดเยี่ยมมาก,Ernest Davis,ดิวคือคนเดียวที่ยังอยู่และยังจำปู่ทวดของฉันได้ เขาเคยเป็นบุรุษที่ยอดเยี่ยมมาก,['ดิว' 'ปู่ทวดของฉัน'],47,47
168,0,เขา,เขาอายุสิบสองขวบ,Ernest Davis,ดิวคือคนเดียวที่ยังอยู่และยังจำพ่อของฉันตั้งแต่เป็นทารก ตอนดิวพบพ่อของฉันครั้งแรก เขาอายุสิบสองขวบ,['ดิว' 'พ่อของฉัน'],82,82
169,1,เขา,เขาอายุสิบสองเดือน,Ernest Davis,ดิวคือคนเดียวที่ยังอยู่และยังจำพ่อของฉันตั้งแต่เป็นทารก ตอนดิวพบพ่อของฉันครั้งแรก เขาอายุสิบสองเดือน,['ดิว' 'พ่อของฉัน'],82,82
170,0,พวกเขา,พวกเขาพ่ายแพ้,Ernest Davis,ในเดือนกรกฎาคม คัมชัตคาประกาศทำสงครามกับยาคุตสค์ เนื่องจากกองทัพของยาคุสตค์มียุทธภัณฑ์ที่ดีกว่า และกำลังพลใหญ่กว่าสิบเท่า พวกเขาพ่ายแพ้ภายในไม่กี่สัปดาห์,['คัมชัตคา' 'ยาคุตสค์'],122,122
171,1,พวกเขา,พวกเขาชนะ,Ernest Davis,ในเดือนกรกฎาคม คัมชัตคาประกาศทำสงครามกับยาคุตสค์ เนื่องจากกองทัพของยาคุสตค์มียุทธภัณฑ์ที่ดีกว่า และกำลังพลใหญ่กว่าสิบเท่า พวกเขาชนะภายในไม่กี่สัปดาห์,['คัมชัตคา' 'ยาคุตสค์'],122,122
172,0,มัน,มันต้องรีบหนีไป,Ernest Davis,ดูสิ! มีปลาสร้อยว่ายอยู่ใต้เป็ดตัวนั้น! มันต้องรีบหนีไปที่ที่ปลอดภัยอย่างรวดเร็ว!,['ปลาสร้อย' 'เป็ด'],40,40
173,1,มัน,มันต้องรีบหนีไป,Ernest Davis,ดูสิ! มีปลาฉลามว่ายอยู่ใต้เป็ดตัวนั้น! มันต้องรีบหนีไปที่ที่ปลอดภัยอย่างรวดเร็ว!,['ปลาฉลาม' 'เป็ด'],39,39
174,0,พวกเขา,พวกเขาตามล่าหลักฐาน,Ernest Davis,นักโบราณคดีสรุปได้ว่ามีมนุษย์อาศัยอยู่ที่ลาพิวต้าเมื่อสองหมื่นปีที่แล้ว พวกเขาตามล่าหลักฐานตามริมแม่น้ำ,['นักโบราณคดี' 'มนุษย์'],72,72
175,1,พวกเขา,พวกเขาตามล่ากวาง,Ernest Davis,นักโบราณคดีสรุปได้ว่ามีมนุษย์อาศัยอยู่ที่ลาพิวต้าเมื่อสองหมื่นปีที่แล้ว พวกเขาตามล่ากวางตามริมแม่น้ำ,['นักโบราณคดี' 'มนุษย์'],72,72
176,0,พวกนั้น,พวกนั้นเริ่มเมื่อสองปีที่แล้ว,Ernest Davis,กลุ่มนักวิทยาศาสตร์ศึกษาปลาสามสายพันธุ์ที่ถูกพบอาศัยในทะเลอินเดีย พวกนั้นเริ่มเมื่อสองปีที่แล้ว,['กลุ่มนักวิทยาศาสตร์' 'ปลา'],66,66
177,1,พวกนั้น,พวกนั้นปรากฏเมื่อสองปีที่แล้ว,Ernest Davis,กลุ่มนักวิทยาศาสตร์ศึกษาปลาสามสายพันธุ์ที่ถูกพบอาศัยในทะเลอินเดีย พวกนั้นปรากฏเมื่อสองปีที่แล้ว,['กลุ่มนักวิทยาศาสตร์' 'ปลา'],66,66
178,0,พวกเขา,พวกเขาดื้อรั้นมาก,Ernest Davis,นักข่าวสัมภาษณ์นักแสดงดาราในหนังเรื่องใหม่ พวกเขาดื้อรั้นมาก การสัมภาษณ์จึงใช้เวลานาน,['นักข่าว' 'นักแสดงดารา'],43,43
179,1,พวกเขา,พวกเขาให้ความร่วมมือเป็นอย่างดี,Ernest Davis,นักข่าวสัมภาษณ์นักแสดงดาราในหนังเรื่องใหม่ พวกเขาให้ความร่วมมือเป็นอย่างดี การสัมภาษณ์จึงใช้เวลานาน,['นักข่าว' 'นักแสดงดารา'],43,43
180,0,พวกเขา,พวกเขาต้องการจะหยุดการค้ายา,Ernest Davis,ทีมตำรวจจับกุมสมาชิกแก๊งทั้งหมด พวกเขาต้องการจะหยุดการค้ายาภายในย่านนั้น,['ทีมตำรวจ' 'สมาชิกแก๊ง'],32,32
181,1,พวกเขา,พวกเขาต้องการจะค้ายา,Ernest Davis,ทีมตำรวจจับกุมสมาชิกแก๊งทั้งหมด พวกเขาต้องการจะค้ายาภายในย่านนั้น,['ทีมตำรวจ' 'สมาชิกแก๊ง'],32,32
182,0,มัน,มันมีเนยเยอะมาก,Ernest Davis,ฉันนำเค้กไปเก็บในตู้เย็น มันมีเนยเยอะมากข้างใน,['เค้ก' 'ตู้เย็น '],25,25
183,1,มัน,มันมีอาหารเหลือเยอะมาก,Ernest Davis,ฉันนำเค้กไปเก็บในตู้เย็น มันมีอาหารเหลือเยอะมากข้างใน,['เค้ก' 'ตู้เย็น '],25,25
184,0,มัน,มันก็จะฟื้นฟู,Ernest Davis,เฉินทำข้อเท้าของเขาหัก และเขาต้องใช้ไม้เท้า แต่ในอีกประมาณหนึ่งเดือน มันก็จะฟื้นฟู,['ข้อเท้า' 'ไม้เท้า'],69,69
185,1,มัน,มันก็จะไม่จำเป็น,Ernest Davis,เฉินทำข้อเท้าของเขาหัก และเขาต้องใช้ไม้เท้า แต่ในอีกประมาณหนึ่งเดือน มันก็จะไม่จำเป็น,['ข้อเท้า' 'ไม้เท้า'],69,69
186,0,พวกเขา,พวกเขาดูเป็นกลุ่มส่วนน้อย,Ernest Davis,เมื่อผู้สนับสนุนการฟ้องร้องไปถึงศาลากลาง พวกเขาตกใจเมื่อพบกลุ่มผู้ต่อต้านจำนวนมากในห้อง พวกเขาดูเป็นกลุ่มส่วนน้อย,['ผู้สนับสนุน' 'ผู้ต่อต้าน'],88,88
187,1,พวกเขา,พวกเขาดูเป็นกลุ่มส่วนมาก,Ernest Davis,เมื่อผู้สนับสนุนการฟ้องร้องไปถึงศาลากลาง พวกเขาตกใจเมื่อพบกลุ่มผู้ต่อต้านจำนวนมากในห้อง พวกเขาดูเป็นกลุ่มส่วนมาก,['ผู้สนับสนุน' 'ผู้ต่อต้าน'],88,88
188,0,มัน,มันมากขึ้น,Ernest Davis,ทุกคนชอบคุกกี้ข้าวโอ้ต และมีไม่กี่คนที่ชอบคุกกี้ช็อกโกแลตชิพ เราควรผลิตมันมากขึ้นในคราวหน้า,['คุกกี้ข้าวโอ้ต' 'คุกกี้ช็อกโกแลตชิพ'],71,71
189,1,มัน,มันน้อยลง,Ernest Davis,ทุกคนชอบคุกกี้ข้าวโอ้ต และมีไม่กี่คนที่ชอบคุกกี้ช็อกโกแลตชิพ เราควรผลิตมันน้อยลงในคราวหน้า,['คุกกี้ข้าวโอ้ต' 'คุกกี้ช็อกโกแลตชิพ'],71,71
190,0,มัน,มันมีไม่มากพอ,Ernest Davis,พวกเราหวังไว้ว่าจะวางจดหมายข่าวของเราบนทุกที่นั่งในห้องประชุม แต่มันมีไม่มากพอ,['จดหมายข่าว' 'ที่นั่ง'],65,65
191,1,มัน,มันมีเยอะเกินไป,Ernest Davis,พวกเราหวังไว้ว่าจะวางจดหมายข่าวของเราบนทุกที่นั่งในห้องประชุม แต่มันมีเยอะเกินไป,['จดหมายข่าว' 'ที่นั่ง'],65,65
192,0,มัน,มันทิ้งรูไว้,Ernest Davis,ฉันจิ้มแครอททะลุด้วยเข็มหมุด เมื่อฉันดึงเข็มหมุดออกมา มันทิ้งรูไว้,['เข็มหมุด ' 'แครอท'],54,54
193,1,มัน,มันมีรูอยู่,Ernest Davis,ฉันจิ้มแครอททะลุด้วยเข็มหมุด เมื่อฉันดึงเข็มหมุดออกมา มันมีรูอยู่,['เข็มหมุด ' 'แครอท'],54,54
194,0,มัน,มันเต็มไปด้วยกาแฟ,Ernest Davis,ฉันหาช้อนไม่เจอ ฉันเลยลองใช้ปากกาคนกาแฟ แต่มันไม่ใช่ความคิดที่ดี เพราะมันเต็มไปด้วยกาแฟ,['ปากกา' 'กาแฟ '],70,70
195,1,มัน,มันเต็มไปด้วยหมึก,Ernest Davis,ฉันหาช้อนไม่เจอ ฉันเลยลองใช้ปากกาคนกาแฟ แต่มันไม่ใช่ความคิดที่ดี เพราะมันเต็มไปด้วยหมึก,['ปากกา' 'กาแฟ '],70,70
196,0,เขา,เขาเชิดชูเขาอย่างมาก,Ernest Davis,เจโรมทำตามตัวอย่างของฌอนสำหรับทุกอย่าง เขาเชิดชูเขาอย่างมาก,['เจโรม' 'ฌอน'],39,39
197,1,เขา,เขามีอิทธิพลต่อเขาอย่างมาก,Ernest Davis,เจโรมทำตามตัวอย่างของฌอนสำหรับทุกอย่าง เขามีอิทธิพลต่อเขาอย่างมาก,['เจโรม' 'ฌอน'],39,39
198,0,มัน,มันกว้างเกินไป,Ernest Davis,โต๊ะไม่สามารถลอดผ่านช่องประตูได้ เพราะมันกว้างเกินไป,['โต๊ะ' 'ช่องประตู'],38,38
199,1,มัน,มันแคบกินไป,Ernest Davis,โต๊ะไม่สามารถลอดผ่านช่องประตูได้ เพราะมันแคบกินไป,['โต๊ะ' 'ช่องประตู'],38,38
200,0,มัน,มันดูเชย,Ernest Davis,จินนี่ยินดีที่จะแลกเสื้อกันหนาวของเธอกับเสื้อคลุมของฉัน เธอคิดว่าใส่แล้วมันดูเชย,['เสื้อกันหนาว' 'เสื้อคลุม'],72,72
201,1,มัน,มันดูดี,Ernest Davis,จินนี่ยินดีที่จะแลกเสื้อกันหนาวของเธอกับเสื้อคลุมของฉัน เธอคิดว่าใส่แล้วมันดูดี,['เสื้อกันหนาว' 'เสื้อคลุม'],72,72
202,0,เขา,ดูแลเขา,Ray Jackendoff,ทนภพจ้างกวินให้ดูแลเขา,['ทนภพ' 'กวิน'],19,15
203,1,เขา,ดูแลเขา,Ray Jackendoff,ทนภพเสนอตัวเองให้กวินจ้างเพื่อดูแลเขา,['ทนภพ' 'กวิน'],34,30
204,0,เขา,เขาจึงไป,Ray Jackendoff,ทนภพกล่าวกับกวินว่าจะไป อีกหนึ่งชั่วโมงต่อมาเขาจึงไป,['ทนภพ' 'กวิน'],44,44
205,1,เขา,เขาจึงไป,Ray Jackendoff,ทนภพสังให้กวินไป อีกหนึ่งชั่วโมงต่อมาเขาจึงไป,['ทนภพ' 'กวิน'],37,37
206,0,เขา,ความยากลำบากที่เขาพบระหว่างหาข้อมูล,Ernest Davis,ชีวประวัติของเซนอฟานีสโดยแซมกู๊ดแมน สื่อชัดเจนถึงความยากลำบากที่เขาพบระหว่างหาข้อมูล,['แซมกู๊ดแมน' 'เซนอฟานีส'],64,49
207,1,เขา,ความยากลำบากที่เขาประสบในช่วงวัยเด็ก,Ernest Davis,ชีวประวัติของเซนอฟานีสโดยแซมกู๊ดแมน สื่อชัดเจนถึงความยากลำบากที่เขาประสบในช่วงวัยเด็ก,['แซมกู๊ดแมน' 'เซนอฟานีส'],64,49
208,0,ของเธอ,ของเธอได้รับการดูแลโดยกุลสตรีผู้ยอดเยี่ยม,"Ernest Davis, adapted from Emma by Jane Austen",แม่ของนิชาเสียชีวิตเมื่อนานมาแล้ว และการศึกษาของเธอได้รับการดูแลโดยกุลสตรีผู้ยอดเยี่ยม,['นิชา' 'แม่ของนิชา'],45,45
209,1,ของเธอ,ของเธอตกถูกปกครองโดยกุลสตรีผู้ยอดเยี่ยม,"Ernest Davis, adapted from Emma by Jane Austen",แม่ของนิชาเสียชีวิตเมื่อนานมาแล้ว และบ้านของเธอตกถูกปกครองโดยกุลสตรีผู้ยอดเยี่ยม,['นิชา' 'แม่ของนิชา'],41,41
210,0,เธอ,เธอไม่ได้รับเสียงตอบ,Ernest Davis,อารยาเคาะประตูบ้านของวีรดา แต่เธอไม่ได้รับเสียงตอบ,['อารยา' 'วีรดา'],30,30
211,1,เธอ,เธอไม่ขานรับ,Ernest Davis,อารยาเคาะประตูบ้านของวีรดา แต่เธอไม่ขานรับ,['อารยา' 'วีรดา'],30,30
212,0,เขา,เขาได้รับรายงานเล่มสุดท้าย,David Bender,เขตต์จ่ายเงินให้กับนักสืบ หลังจากเขาได้รับรายงานเล่มสุดท้ายเกี่ยวกับคดี,['เขตต์' 'นักสืบ'],33,33
213,1,เขา,เขาส่งมอบรายงานเล่มสุดท้าย,David Bender,เขตต์จ่ายเงินให้กับนักสืบ หลังจากเขาส่งมอบรายงานเล่มสุดท้ายเกี่ยวกับคดี,['เขตต์' 'นักสืบ'],33,33
214,0,เธอ,เธอหยุดและนับถึงสิบ,David Bender,เดมี่ไม่โกรธเนเน่ ที่พูดแทรกเธอ เพราะเธอหยุดและนับถึงสิบ,['เดมี่' 'เนเน่'],37,37
215,1,เธอ,เธอหยุดและขอโทษ,David Bender,เดมี่ไม่โกรธเนเน่ ที่พูดแทรกเธอ เพราะเธอหยุดและขอโทษ,['เดมี่' 'เนเน่'],37,37
216,0,ของเขา,แก้วเปล่าของเขา,David Bender,เฉลิมส่งสัญญาณเรียกพนักงานเสิร์ฟและชี้ไปยังแก้วเปล่าของเขา,['เฉลิม' 'พนักงานเสิร์ฟ'],52,43
217,1,ของเขา,กุญแจห้องน้ำของเขา,David Bender,เฉลิมส่งสัญญาณเรียกพนักงานเสิร์ฟและชี้ไปยังกุญแจห้องน้ำของเขา,['เฉลิม' 'พนักงานเสิร์ฟ'],55,43
218,0,เขา,"เขา ""จอง""",David Bender,"ไตรภพเลือกที่หนังด้านหลัง ส่วนดิลกเลือกข้างหน้า เพราะเขา ""จอง"" ช้า",['ไตรภพ' 'ดิลก'],53,53
219,1,เขา,"เขา ""จอง""",David Bender,"ไตรภพเลือกที่หนังด้านหลัง ส่วนดิลกเลือกข้างหน้า เพราะเขา ""จอง"" เร็วกว่า",['ไตรภพ' 'ดิลก'],53,53
220,0,ของเขา,บิชอปของเขา,David Bender,"วิษุวัตกล่าว ""รุก"" ให้กับสุรศักดิ์ ขณะเคลื่อนหมากบิชอปของเขา",['วิษุวัต' 'สุรศักดิ์'],54,49
221,1,ของเขา,บิชอปของเขา,David Bender,"วิษุวัตกล่าว ""รุก"" ให้กับสุรศักดิ์ พร้อมกับกินบิชอปของเขา",['วิษุวัต' 'สุรศักดิ์'],51,46
222,0,เธอ,เธอสามารถมองเห็น,David Bender,ขณะที่ณัชชาบนเครื่องบินพ่นยาฆ่าแมลงบินผ่านดารินไป เธอสามารถมองเห็นลานบิน,['ณัชชา' 'ดาริน'],50,50
